"gene_id","organism","sample_id","abundance","date","latitude","longitude"
"mecA","Staphylococcus aureus","S0149",36.7,2022-05-03,54.8238640665077,-84.9730509333313
"blaCTX-M-15","Escherichia coli","S0150",31.6,2021-11-17,58.7188265575096,-88.6707234289497
"mecA","Staphylococcus aureus","S0151",44.3,2022-12-09,41.7771921674721,-111.563046274241
"ermB","Enterococcus faecium","S0152",58,2023-08-08,39.2567987600341,-114.39569052076
"vanA","Enterococcus faecalis","S0153",0,2022-01-18,48.6846565189771,-95.2859099407215
"blaCTX-M-15","Escherichia coli","S0154",40,2022-03-20,40.7507978552021,-79.2515325220302
"blaCTX-M-15","Klebsiella pneumoniae","S0155",19.9,2021-02-13,42.5342052690685,-117.359977943124
"blaCTX-M-15","Klebsiella pneumoniae","S0156",25.9,2021-08-05,47.270693836268,-113.450106775854
"blaCTX-M-15","Klebsiella pneumoniae","S0157",43.2,2022-10-16,41.4608981003985,-116.782312744763
"mecA","Staphylococcus aureus","S0158",36.5,2022-10-22,48.2479706690647,-85.397224817425
"mecA","Staphylococcus aureus","S0159",32.5,2022-10-11,39.4736042348668,-87.6537454780191
"blaCTX-M-15","Klebsiella pneumoniae","S0160",62.8,2023-03-31,52.0157553316094,-92.3149865737651
"mecA","Staphylococcus aureus","S0161",55.4,2023-11-26,39.0744572286494,-76.5320989349857
"ermB","Streptococcus pneumoniae","S0162",46.9,2022-10-31,57.0720036197454,-98.0999675800558
"tetM","Pseudomonas aeruginosa","S0163",10.2,2021-05-28,54.41906407848,-95.179644060554
"vanA","Enterococcus faecium","S0164",2,2022-01-07,36.053250616882,-80.2482399565633
"ermB","Enterococcus faecium","S0165",36.5,2022-08-07,47.5733064296655,-118.857159645995
"vanA","Enterococcus faecium","S0166",8.1,2022-04-25,47.8043290791102,-124.744901705999
"blaCTX-M-15","Klebsiella pneumoniae","S0167",49.1,2023-02-17,52.2975991121493,-73.3538318646606
"blaCTX-M-15","Escherichia coli","S0168",40.4,2022-08-29,45.4462880874053,-80.926008465467
"vanA","Enterococcus faecium","S0169",7.3,2021-07-30,55.4939413079992,-96.9103408558294
"ermB","Streptococcus pneumoniae","S0170",60.4,2023-04-19,40.4668854759075,-91.1775325424969
"mecA","Staphylococcus aureus","S0171",52.2,2023-10-18,50.166983619798,-73.4469949034974
"blaCTX-M-15","Klebsiella pneumoniae","S0172",37.3,2022-03-01,48.7207425297238,-76.9997924542986
"tetM","Staphylococcus aureus","S0173",20.4,2023-05-08,48.6254370273091,-109.825554295676
"ermB","Streptococcus pneumoniae","S0174",21,2021-08-03,39.2790412968025,-78.3540775754955
"blaCTX-M-15","Escherichia coli","S0175",61.9,2023-08-22,48.7952699027956,-123.554553893628
"vanA","Enterococcus faecalis","S0176",0,2022-10-12,35.9087743330747,-117.492373542627
"vanA","Enterococcus faecium","S0177",0,2023-12-04,56.0010896981694,-111.972007247387
"vanA","Enterococcus faecium","S0178",0.7,2021-12-01,34.8814395400696,-80.6639788125176
"mecA","Staphylococcus aureus","S0179",37,2022-03-10,46.7055119145662,-98.0073072796222
"ermB","Enterococcus faecium","S0180",56,2023-04-05,49.1172620994039,-91.0460575437173
"vanA","Enterococcus faecalis","S0181",13.6,2021-01-11,41.8581167999655,-99.8914999864064
"tetM","Staphylococcus aureus","S0182",9.8,2022-10-07,47.9453582027927,-92.1401473367587
"vanA","Enterococcus faecium","S0183",0,2022-03-23,55.1815226627514,-111.576742454199
"vanA","Enterococcus faecalis","S0184",14.5,2021-06-11,45.3515097745694,-112.157746120356
"mecA","Staphylococcus aureus","S0185",46,2022-12-24,58.7738661193289,-123.964231255231
"tetM","Pseudomonas aeruginosa","S0186",17.3,2022-12-21,35.9708743197843,-76.4189844590146
"mecA","Staphylococcus aureus","S0187",69.8,2023-11-25,51.6331409220584,-101.048225972336
"blaCTX-M-15","Escherichia coli","S0188",38.8,2022-03-17,35.3847453491762,-111.954114490654
"tetM","Staphylococcus aureus","S0189",14.2,2022-06-21,58.6497393036261,-120.260529420339
"blaCTX-M-15","Klebsiella pneumoniae","S0190",61.4,2023-10-30,38.1851290347986,-114.938261930365
"ermB","Streptococcus pneumoniae","S0191",56.6,2023-02-21,44.8087889365852,-73.7084968085401
"ermB","Streptococcus pneumoniae","S0192",64.1,2023-10-02,45.3203678512946,-77.1653606311884
"tetM","Staphylococcus aureus","S0193",14.6,2023-02-21,50.7834059689194,-77.6082900166512
"mecA","Staphylococcus aureus","S0194",45.3,2022-12-04,53.2272137622349,-83.535512132803
"tetM","Pseudomonas aeruginosa","S0195",13.3,2021-11-28,52.5530231078155,-118.592888473067
"ermB","Streptococcus pneumoniae","S0196",62.8,2023-05-07,55.7886031437665,-118.463878607145
"blaCTX-M-15","Klebsiella pneumoniae","S0197",58.5,2023-04-08,46.0369990072213,-86.4901763899252
"mecA","Staphylococcus aureus","S0198",38,2022-03-06,59.9876234154217,-78.4735314548016
"ermB","Enterococcus faecium","S0199",29.3,2021-03-30,35.2561776451766,-83.9266648155171
"blaCTX-M-15","Klebsiella pneumoniae","S0200",51.7,2023-06-06,59.9075883892365,-82.8870683105197
"blaCTX-M-15","Escherichia coli","S0201",61.6,2023-05-19,45.376318951603,-73.4084456157871
"mecA","Staphylococcus aureus","S0202",41.5,2022-06-08,49.2024623267353,-101.150281419978
"mecA","Staphylococcus aureus","S0203",63.8,2023-08-14,55.955189100001,-112.747726853704
"blaCTX-M-15","Escherichia coli","S0204",28.5,2021-12-24,38.977077648975,-86.2068895041011
"blaCTX-M-15","Klebsiella pneumoniae","S0205",51.1,2023-03-30,35.1781460205093,-101.987209295621
"vanA","Enterococcus faecium","S0206",8.9,2022-04-22,44.7702474175021,-102.39474132075
"blaCTX-M-15","Klebsiella pneumoniae","S0207",65.9,2023-05-12,46.3849636339583,-122.378424835624
"tetM","Staphylococcus aureus","S0208",17.7,2023-12-09,59.2148031257093,-120.133349345997
"ermB","Streptococcus pneumoniae","S0209",37.2,2022-01-29,41.3999875970185,-103.544790716842
"ermB","Streptococcus pneumoniae","S0210",19,2021-10-30,47.0279193273745,-115.816523702815
"mecA","Staphylococcus aureus","S0211",33.5,2022-02-07,34.6526771099307,-83.9648521121126
"mecA","Staphylococcus aureus","S0212",50,2022-12-04,50.3150634826161,-90.3185132716317
"mecA","Staphylococcus aureus","S0213",29.4,2021-11-17,57.0603389139287,-89.1880102304276
"tetM","Pseudomonas aeruginosa","S0214",19.6,2023-04-08,37.2453823285177,-110.960381893674
"mecA","Staphylococcus aureus","S0215",62.5,2023-08-14,37.3282363391481,-91.5142728050705
"vanA","Enterococcus faecalis","S0216",22.4,2021-03-14,59.601377998013,-103.369342543883
"mecA","Staphylococcus aureus","S0217",35.3,2022-11-12,34.6207990935072,-121.768286442384
"ermB","Enterococcus faecium","S0218",41.9,2022-04-10,38.8590948223136,-91.5016461815685
"vanA","Enterococcus faecium","S0219",0,2021-09-26,51.0139134814963,-76.1743817047682
"ermB","Enterococcus faecium","S0220",35.4,2022-05-07,54.7261329242028,-118.975383116631
"ermB","Enterococcus faecium","S0221",26.8,2021-06-04,56.7398047503084,-103.304554061033
"ermB","Streptococcus pneumoniae","S0222",34.1,2022-05-21,47.5575774600729,-118.340714933584
"ermB","Streptococcus pneumoniae","S0223",26.5,2021-07-15,34.9666324364953,-109.867106977617
"vanA","Enterococcus faecium","S0224",0,2023-10-14,41.4469642280601,-91.35383753106
"ermB","Streptococcus pneumoniae","S0225",15,2021-01-17,50.4693512059748,-91.0340276395436
"ermB","Enterococcus faecium","S0226",61.9,2023-12-12,34.9184114644304,-96.091348110931
"blaCTX-M-15","Klebsiella pneumoniae","S0227",57.6,2023-10-03,36.1654709824361,-110.703960055253
"blaCTX-M-15","Escherichia coli","S0228",41,2022-09-09,46.6920446958393,-114.673381462926
"mecA","Staphylococcus aureus","S0229",25.7,2021-04-12,37.2189650558867,-92.2844896290917
"ermB","Streptococcus pneumoniae","S0230",14.9,2021-03-21,56.7112915650941,-105.044625181472
"tetM","Staphylococcus aureus","S0231",24.2,2023-04-10,36.8548414846882,-79.9600847205147
"mecA","Staphylococcus aureus","S0232",15.7,2021-03-31,54.2783760991879,-114.372089937096
"tetM","Staphylococcus aureus","S0233",15,2022-09-25,45.6153145269491,-123.271533468505
"blaCTX-M-15","Escherichia coli","S0234",38.2,2022-05-07,55.0430031544529,-72.632168821292
"blaCTX-M-15","Klebsiella pneumoniae","S0235",14.4,2021-01-09,34.1394756315276,-117.53298441763
"ermB","Streptococcus pneumoniae","S0236",36.7,2022-01-09,54.4736704449169,-90.7445790932979
"tetM","Pseudomonas aeruginosa","S0237",14.3,2022-10-21,51.7666371315718,-124.001027841587
"mecA","Staphylococcus aureus","S0238",55.8,2023-07-04,52.3519472503103,-75.0201422115788
"mecA","Staphylococcus aureus","S0239",37.7,2022-04-29,45.9041876471601,-112.776079870528
"vanA","Enterococcus faecium","S0240",0,2021-08-01,41.07408869965,-85.7874148839619
"tetM","Pseudomonas aeruginosa","S0241",23.6,2022-05-07,43.5750272274017,-87.7400253457017
"blaCTX-M-15","Escherichia coli","S0242",21.9,2021-09-13,55.7409693282098,-105.076293436578
"vanA","Enterococcus faecalis","S0243",9.7,2021-06-10,38.0368675338104,-78.4781946963631
"mecA","Staphylococcus aureus","S0244",56.4,2023-02-19,56.3848127634265,-96.4843012858182
"blaCTX-M-15","Klebsiella pneumoniae","S0245",60.1,2023-07-28,46.4964227597229,-99.373883617809
"blaCTX-M-15","Klebsiella pneumoniae","S0246",31.3,2022-08-11,59.8698573256843,-102.644565337105
"vanA","Enterococcus faecium","S0247",0,2022-08-10,34.976035815198,-76.5211320819799
"ermB","Streptococcus pneumoniae","S0248",25,2021-02-18,39.4099414274096,-123.509192339843
"blaCTX-M-15","Escherichia coli","S0249",58.1,2023-04-26,54.1846813862212,-98.3015146746766
"vanA","Enterococcus faecalis","S0250",0,2023-11-20,41.6857917374,-75.1579994615167
"ermB","Enterococcus faecium","S0251",40,2022-08-03,49.069062684197,-70.3532772685867
"tetM","Staphylococcus aureus","S0252",18.3,2021-03-11,51.9844967615791,-120.06327771116
"blaCTX-M-15","Escherichia coli","S0253",21.3,2021-10-23,57.0439632688649,-97.7423609525431
"mecA","Staphylococcus aureus","S0254",19,2021-10-26,43.6108010420576,-112.04615827417
"vanA","Enterococcus faecalis","S0255",0,2022-06-16,56.1762027689256,-117.155065168627
"ermB","Enterococcus faecium","S0256",61.1,2023-08-19,39.1784650972113,-103.448236566037
"tetM","Staphylococcus aureus","S0257",15.1,2022-10-19,40.5985672771931,-84.560155874351
"tetM","Pseudomonas aeruginosa","S0258",11.3,2023-03-10,47.9302255064249,-100.58926283149
"vanA","Enterococcus faecium","S0259",0,2022-08-17,49.9757042857818,-122.117073218105
"tetM","Staphylococcus aureus","S0260",10.4,2023-09-20,55.5878934017383,-116.974956865888
"blaCTX-M-15","Klebsiella pneumoniae","S0261",20.9,2021-08-02,35.9313785964623,-95.3840210707858
"blaCTX-M-15","Escherichia coli","S0262",13.4,2021-03-08,35.2310556424782,-116.14725304069
"mecA","Staphylococcus aureus","S0263",24.6,2021-11-10,41.5126270228066,-124.044253919274
"blaCTX-M-15","Klebsiella pneumoniae","S0264",44.7,2022-11-09,55.7866409490816,-110.829360216158
"blaCTX-M-15","Klebsiella pneumoniae","S0265",17.1,2021-02-08,43.7095352895558,-82.3557539307512
"vanA","Enterococcus faecium","S0266",0,2021-12-19,43.8801104570739,-105.220835715299
"ermB","Enterococcus faecium","S0267",32,2022-02-12,56.8269905573688,-99.29911565152
"vanA","Enterococcus faecalis","S0268",0,2022-08-22,38.8931607659906,-83.7277663336135
"ermB","Streptococcus pneumoniae","S0269",58.2,2023-05-04,45.7324228268117,-90.7379386667162
"tetM","Pseudomonas aeruginosa","S0270",13.6,2022-08-30,38.0703493296169,-120.14176014578
"blaCTX-M-15","Klebsiella pneumoniae","S0271",43.1,2022-12-26,37.7574121332727,-116.795078438008
"mecA","Staphylococcus aureus","S0272",33.4,2022-10-13,34.14030404808,-112.799118937692
"blaCTX-M-15","Escherichia coli","S0273",26.3,2021-11-14,59.7961194505915,-114.484552155482
"ermB","Enterococcus faecium","S0274",24.7,2021-02-06,39.114698397927,-118.868776233867
"blaCTX-M-15","Klebsiella pneumoniae","S0275",55.6,2023-08-25,52.958712332882,-93.4195646841545
"vanA","Enterococcus faecalis","S0276",0,2022-10-01,49.92249766225,-72.6833201711997
"vanA","Enterococcus faecalis","S0277",0,2023-03-28,57.5741371558979,-80.1467944053002
"ermB","Streptococcus pneumoniae","S0278",42.9,2022-10-31,36.5121261314489,-72.70103708026
"mecA","Staphylococcus aureus","S0279",24.1,2021-07-01,54.3850901131518,-82.9462761012837
"tetM","Pseudomonas aeruginosa","S0280",6.6,2023-06-16,42.4102130127139,-110.167450152803
"tetM","Pseudomonas aeruginosa","S0281",18.7,2021-07-02,49.7360826414078,-102.984315844951
"mecA","Staphylococcus aureus","S0282",42,2022-09-05,36.8178648022003,-99.4487299933098
"vanA","Enterococcus faecalis","S0283",1.7,2021-07-04,41.8325451300479,-119.801645815605
"mecA","Staphylococcus aureus","S0284",39.3,2022-09-19,35.7555129486136,-90.3587007010356
"mecA","Staphylococcus aureus","S0285",52.7,2023-08-01,56.7902925098315,-78.9362610934768
"ermB","Enterococcus faecium","S0286",24.6,2021-03-12,34.6375109795481,-85.868273016531
"tetM","Pseudomonas aeruginosa","S0287",10.5,2022-01-18,39.6740699685179,-77.2700005862862
